2023-07-23; 06:08:07; 00:03:48; Триблок; None;
2023-07-07; 08:32:49; 00:21:45; |Капсуляторная машина;| |Поломка аппарата;|
2023-07-07; 09:17:47; 00:10:26; Триблок; |Ремонт наливного крана;|
2023-07-07; 21:12:56; 00:08:50; Триблок; Настройка;
2023-07-08; 00:03:00; 00:35:52; Триблок; Обед;
2023-07-08; 06:06:30; 00:03:59; |Групповой считыватель;| |Замена рибона, коробочного стикера;|
2023-07-07; 23:29:25; 00:04:24; Этикетировка; Настройка;
2023-07-07; 14:40:04; 00:11:44; Триблок; |Ремонт наливного крана;|
2023-07-08; 05:40:10; 00:03:31; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-07; 22:43:56; 00:06:00; Этикетировка; |Порвалась к.этик, этикетка;|
2023-07-08; 06:24:35; 00:17:01; Этикетировка; Настройка;
2023-07-07; 23:34:04; 00:27:52; Триблок; Обед;
2023-07-07; 13:25:40; 00:04:01; Принтер; |Замена рибона, коробочного стикера;|
2023-07-07; 13:35:22; 00:06:13; Этикетировка; Настройка;
2023-07-07; 10:08:37; 00:29:15; Принтер; |Поломка аппарата;|
2023-07-08; 01:31:49; 00:04:03; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-08; 07:36:25; 00:09:36; Триблок; Настройка;
2023-07-07; 21:25:01; 00:06:41; |Мюзлёвочный аппарат;| Настройка;
2023-07-08; 03:52:40; 00:04:31; |Мюзлёвочный аппарат;| Настройка;
2023-07-07; 16:11:12; 00:03:26; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-07; 13:54:39; 00:12:07; Триблок; |Ремонт наливного крана;|
2023-07-07; 22:05:45; 00:03:56; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-07; 10:54:06; 00:09:21; Триблок; |Ремонт наливного крана;|
2023-07-07; 16:34:00; 00:39:52; Триблок; Обед;
2023-07-07; 11:37:26; 00:05:13; |Мюзлёвочный аппарат;| Настройка;
2023-07-08; 06:14:07; 00:03:36; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-07; 12:34:14; 00:05:23; Триблок; |Ремонт наливного крана;|
2023-07-07; 20:40:05; 00:25:28; Доналадка; None;
2023-07-07; 12:19:30; 00:04:07; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-08; 06:00:13; 00:03:50; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-07; 23:12:11; 00:03:41; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-07; 12:29:39; 00:04:32; |Капсуляторная машина;| Настройка;
2023-07-08; 02:30:34; 00:05:29; |Мюзлёвочный аппарат;| Настройка;
2023-07-07; 17:18:33; 03:24:18; Переналадка; None;
2023-07-08; 06:45:25; 00:16:03; Этикетировка; |Поломка аппарата;|
2023-07-07; 21:05:50; 00:07:05; Этикетировка; Настройка;
2023-07-08; 03:59:51; 00:37:30; Триблок; Обед;
2023-07-08; 07:23:48; 00:04:06; Триблок; Настройка;
2023-07-08; 07:01:29; 00:15:18; |Мюзлёвочный аппарат;| |Поломка аппарата;|
2023-07-08; 01:40:37; 00:04:07; |Мюзлёвочный аппарат;| Настройка;
2023-07-08; 07:51:14; 00:11:44; Триблок; None;
2023-07-08; 02:26:30; 00:04:03; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-08; 09:06:46; 00:06:18; Триблок; |Ремонт наливного крана;|
2023-07-08; 23:49:03; 00:12:56; Триблок; |Закрытие партии суточное;|
2023-07-08; 09:43:07; 00:14:50; Триблок; |Ремонт наливного крана;|
2023-07-08; 09:15:48; 00:03:45; |Этикетировочная машина;| |Замена контрэтикетки, этикетки, марки;|
2023-07-08; 08:54:53; 00:04:36; |Аппликатор  QR-кода;| |Замена QR;|
2023-07-09; 04:49:37; 00:04:07; Триблок; None;
2023-07-08; 18:58:34; 00:04:34; Этикетировка; Настройка;
2023-07-08; 14:35:21; 00:04:14; |Заклейщик коробов;| |Поломка аппарата;|
2023-07-08; 08:37:05; 00:04:40; Этикетировка; Настройка;
2023-07-09; 02:29:13; 00:06:49; Этикетировка; None;
2023-07-08; 15:15:30; 00:04:08; Принтер; |Замена рибона, коробочного стикера;|
2023-07-08; 10:29:19; 00:36:41; Триблок; |Переход по этикетке;|
2023-07-08; 11:13:50; 00:11:30; |Капсуляторная машина;| Настройка;
2023-07-08; 21:52:48; 00:03:47; |Групповой считыватель;| |Замена рибона, коробочного стикера;|
2023-07-08; 11:45:22; 00:15:59; |Этикетировочная машина;| Настройка;
2023-07-08; 12:01:32; 00:36:05; Триблок; Обед;
2023-07-09; 00:54:24; 00:04:39; |Мюзлёвочный аппарат;| Настройка;
2023-07-08; 16:18:51; 00:04:40; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-09; 02:11:57; 00:05:26; Этикетировка; None;
2023-07-08; 16:23:31; 00:09:28; |Укладчик бутылок;| Настройка;
2023-07-09; 01:22:39; 00:03:32; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-08; 12:50:06; 00:16:04; Триблок; |Переход на новый акратофор,емкость;|
2023-07-08; 16:34:00; 00:31:38; Триблок; Обед;
2023-07-08; 14:23:20; 00:03:56; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-08; 17:32:21; 00:03:30; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-08; 14:15:27; 00:04:38; Этикетировка; Настройка;
2023-07-08; 13:41:08; 00:04:15; |Капсуляторная машина;| Настройка;
2023-07-08; 21:24:51; 00:04:40; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
